"id","title","content","category","doc_type","doc_number","agency","published_date","url","crawled_at"
Hoạt động mua, bán vàng miếng của các tổ chức, cá nhân chỉ được thực hiện tại các tổ chức tín dụng và doanh nghiệp được Ngân hàng Nhà nước cấp Giấy phép kinh doanh mua, bán vàng miếng.

Như vậy, hoạt động mua bán vàng miếng của các tổ chức, cá nhân chỉ được thực hiện tại các tổ chức tín dụng và doanh nghiệp được Ngân hàng Nhà nước cấp Giấy phép kinh doanh mua, bán vàng miếng.

*Trên đây là Bảng giá vàng ngày 7 4 2026 bao nhiêu tiền 1 lượng, 1 chỉ?","","","","","2026-04-07","https://thuvienphapluat.vn/hoi-dap-phap-luat/bang-gia-vang-ngay-742026-bao-nhieu-tien-1-luong-1-chi-138086324.html","2026-04-08T16:10:52.819714+00:00"
"138086327","Cập nhật giá vàng hôm nay 7/4 ra sao? Bao nhiêu tiền 1 lượng?","Căn cứ theo khoản 1 Điều 9  Nghị định 24/2012/NĐ-CP  quy định doanh nghiệp kinh doanh mua, bán vàng trang sức, mỹ nghệ có trách nhiệm niêm yết công khai tại địa điểm giao dịch về khối lượng, hàm lượng vàng, giá mua, giá bán các loại sản phẩm vàng trang sức, mỹ nghệ và chịu trách nhiệm trước pháp luật về chất lượng sản phẩm bán ra thị trường.

>>> Dưới đây là  bảng giá vàng hôm nay cập nhật mới nhất :

Bảng Giá vàng hôm nay 7/4/2026:

Đơn vị tính: Triệu VNĐ đồng/lượng

Giá vàng  SJC  Ngày 07-04-2026  07:50

Loại vàng

Mua vào

Bán ra

Vàng SJC 1L, 10L, 1KG

170.100

173.100

Vàng SJC 5 chỉ

170.100

173.120

Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ

170.100

173.130

Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ

169.600

172.600

Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ

169.600

172.700

Nữ trang 99,99%

167.600

171.100

Nữ trang 99%

162.906

169.406

Nữ trang 75%

119.588

128.488

Nữ trang 68%

107.610

116.510

Nữ trang 61%

95.631

104.531

Nữ trang 58,3%

91.011

99.911

Nữ trang 41,7%

62.606

71.506

Giá vàng  DOJI HCM  Ngày 07-04-2026  07:50

Loại vàng

Mua vào

Bán ra

SJC Lẻ

170.100

173.100

AVPL

170.100

173.100

Nhẫn tròn 999 Hưng Thịnh Vượng

170.000

173.100

Nữ trang 99.99

167.500

171.500

Nữ trang 99.9

167.000

171.000

Nữ trang 99

166.300

170.800

Giá vàng  PNJ  Ngày 06-04-2026  22:15

Loại vàng

Mua vào

Bán ra

Nhẫn Trơn PNJ 999.9

169.000

172.000

Vàng Kim Bảo 999.9

169.000

172.000

Vàng Phúc Lộc Tài 999.9

169.000

172.000

Vàng nữ trang 999.9

166.500

170.500

Vàng nữ trang 999

166.330

170.330

Vàng nữ trang 9920

162.940

169.140

Vàng nữ trang 99

162.600

168.800

Vàng 916 (22K)

149.980

156.180

Vàng 750 (18K)

118.980

127.880

Vàng 680 (16.3K)

107.040

115.940

Vàng 650 (15.6K)

101.930

110.830

Vàng 610 (14.6K)

95.110

104.010

Vàng 585 (14K)

90.840

99.740

Vàng 416 (10K)

62.030

70.930

Vàng 375 (9K)

55.040

63.940

Vàng 333 (8K)

47.880

56.780

Giá vàng  Mi Hồng  Ngày 07-04-2026  07:55

Loại vàng

Mua vào

Bán ra

Vàng miếng SJC

170.700

172.700

Vàng 99,9%

170.700

172.700

Vàng 9T85 (98,5%)

151.500

154.500

Vàng 9T8 (98,0%)

150.700

153.700

Vàng 95 (95,0%)

146.000

-

Vàng V75 (75,0%)

108.000

112.000

Vàng V68 (68,0%)

96.500

100.500

Vàng 6T1 (61,0%)

93.500

97.500

Vàng 14K (58,0%)

87.500

91.500

Vàng 10K (41,0%)

60.500

64.500

Đơn vị:

- 1 lượng (cây) = 10 chỉ

- Giá trên là giá niêm yết vàng miếng

*Lưu ý:  Giá vàng có thể thay đổi theo từng giờ vì vậy người mua nên theo dõi cập nhật liên tục hoặc liên hệ trực tiếp cửa hàng để biết mức giá chính xác tại thời điểm giao dịch.

*Lưu ý:  Giá vàng có thể thay đổi theo từng giờ vì vậy người mua nên theo dõi cập nhật liên tục hoặc liên hệ trực tiếp cửa hàng để biết mức giá chính xác tại thời điểm giao dịch.

>>> Cập nhật giá vàng ngày 7/4/2026 như sau:

[...]

[ĐANG CẬP NHẬT...]

***

* Trên đây là Thông tin về Cập nhật giá vàng hôm nay 7 4 tăng hay giảm? Bao nhiêu tiền 1 lượng?

Cập nhật giá vàng hôm nay 7 4 tăng hay giảm? Bao nhiêu tiền 1 lượng? (Hình từ Internet)

Căn cứ theo Điều 19  Nghị định 24/2012/NĐ-CP  được sửa đổi bởi khoản 12 Điều 1  Nghị định 232/2025/NĐ-CP , những hành vi vi phạm các quy định của pháp luật trong hoạt động kinh doanh vàng là:

- Hoạt động sản xuất vàng trang sức, mỹ nghệ không có Giấy chứng nhận đủ điều kiện kinh doanh do Ngân hàng Nhà nước cấp.

- Hoạt động sản xuất, hoạt động kinh doanh mua, bán vàng miếng không có giấy phép do Ngân hàng Nhà nước cấp; hoạt động xuất khẩu, nhập khẩu vàng nguyên liệu, xuất khẩu, nhập khẩu vàng miếng không đúng quy định.

- Mang theo vàng khi xuất cảnh, nhập cảnh của cá nhân vượt mức quy định không có giấy phép do Ngân hàng Nhà nước cấp.

- Sử dụng vàng làm phương tiện thanh toán.

- Hoạt động sản xuất vàng miếng trái với quy định tại  Nghị định 24/2012/NĐ-CP .

- Hoạt động kinh doanh vàng khác khi chưa được Thủ tướng Chính phủ cho phép và Ngân hàng Nhà nước cấp giấy phép.

- Vi phạm các quy định khác tại  Nghị định 24/2012/NĐ-CP  và các quy định của pháp luật khác có liên quan.

Căn cứ theo Điều 16  Nghị định 24/2012/NĐ-CP  được sửa đổi bởi khoản 10 Điều 1  Nghị định 232/2025/NĐ-CP  quy định trách nhiệm của Ngân hàng Nhà nước trong hoạt động kinh doanh vàng là:

- Xây dựng, trình cấp có thẩm quyền ban hành chiến lược, kế hoạch về phát triển thị trường vàng theo hướng thị trường hóa.

- Xây dựng, điều chỉnh tổng hạn mức hàng năm đối với việc xuất khẩu, nhập khẩu vàng miếng, nhập khẩu vàng nguyên liệu của các doanh nghiệp, ngân hàng thương mại quy định tại Điều 11a  Nghị định 24/2012/NĐ-CP  trên cơ sở:

+ Tình hình kinh tế vĩ mô và mục tiêu điều hành chính sách tiền tệ;

+ Quy mô dự trữ ngoại hối nhà nước;

+ Tình hình thực hiện hoạt động xuất khẩu, nhập khẩu vàng miếng, vàng nguyên liệu;

Trên cơ sở tổng hạn mức hàng năm, Ngân hàng Nhà nước thực hiện cấp hạn mức hàng năm cho doanh nghiệp, ngân hàng thương mại theo quy mô vốn điều lệ của doanh nghiệp, ngân hàng thương mại; tình hình xuất khẩu, nhập khẩu vàng miếng, vàng nguyên liệu của các năm trước (nếu có) và nhu cầu của doanh nghiệp, ngân hàng thương mại. Thống đốc Ngân hàng Nhà nước quy định cách thức phân bố hạn mức hàng năm cho các doanh nghiệp, ngân hàng thương mại.

- Ngân hàng Nhà nước cấp, sửa đổi, bổ sung, thu hồi:

+ Giấy chứng nhận đủ điều kiện sản xuất vàng trang sức, mỹ nghệ;

+ Giấy phép sản xuất vàng miếng;

+ Giấy phép kinh doanh mua, bán vàng miếng;

+ Giấy phép xuất khẩu, nhập khẩu vàng miếng, vàng nguyên liệu;

+ Giấy phép mang theo vàng khi xuất cảnh, nhập cảnh của cá nhân vượt mức quy định;

+ Giấy phép đối với các hoạt động kinh doanh vàng quy định tại khoản 9 Điều 4  Nghị định 24/2012/NĐ-CP  sau khi được Thủ tướng Chính phủ cho phép;

+ Hạn mức xuất khẩu, nhập khẩu vàng miếng; nhập khẩu vàng nguyên liệu của doanh nghiệp, ngân hàng thương mại, quy định tại Điều 11a  Nghị định 24/2012/NĐ-CP .

- Phối hợp cùng các bộ, ngành liên quan để thiết lập hệ thống thông tin, xây dựng, lưu trữ dữ liệu về thị trường vàng, kết nối cung cấp thông tin cho cơ quan liên quan nhằm tăng tính minh bạch, hỗ trợ hiệu quả công tác quản lý.

- Ngân hàng Nhà nước thực hiện kiểm tra, thanh tra đối với hoạt động sản xuất vàng miếng, vàng trang sức, mỹ nghệ; hoạt động kinh doanh mua, bán vàng miếng; hoạt động xuất khẩu, nhập khẩu vàng miếng, vàng nguyên liệu và hoạt động kinh doanh vàng quy định tại khoản 9 Điều 4  Nghị định 24/2012/NĐ-CP .

- Ngân hàng Nhà nước đăng tải trên trang thông tin điện tử Ngân hàng Nhà nước giá mua, giá bán vàng miếng do doanh nghiệp, tổ chức tín dụng được Ngân hàng Nhà nước cấp Giấy phép kinh doanh mua, bán vàng miếng cung cấp.

- Ngân hàng Nhà nước thực hiện các nhiệm vụ và quyền hạn khác liên quan đến quản lý hoạt động kinh doanh vàng theo quyết định của Thủ tướng Chính phủ.

Trên đây là Thông tin về Cập nhật giá vàng hôm nay 7 4 tăng hay giảm? Bao nhiêu tiền 1 lượng?","","","","","2026-04-07","https://thuvienphapluat.vn/hoi-dap-phap-luat/cap-nhat-gia-vang-hom-nay-74-ra-sao-bao-nhieu-tien-1-luong-138086327.html","2026-04-08T16:10:58.307456+00:00"
"138086337","Các khoản thu của Bảo hiểm tiền gửi Việt Nam gồm các khoản nào?","Căn cứ khoản 1 Điều 14  Thông tư 33/2026/TT-BTC  quy định các khoản thu của Bảo hiểm tiền gửi Việt Nam gồm:

[1]. Thu hoạt động nghiệp vụ bảo hiểm tiền gửi:

- Thu tiền chậm nộp phí bảo hiểm tiền gửi theo quy định của Luật Bảo hiểm tiền gửi;

- Thu hoạt động nghiệp vụ bảo hiểm tiền gửi khác có liên quan.

[2]. Doanh thu từ hoạt động đầu tư: Thu lãi từ hoạt động đầu tư theo quy định của  Luật Bảo hiểm tiền gửi 2025 ;

[3]. Thu từ hoạt động khác:

- Thu từ chuyển nhượng, thanh lý tài sản;

- Thu từ cho thuê tài sản;

- Thu từ hoạt động cho vay đặc biệt từ quỹ dự phòng nghiệp vụ. Bảo hiểm tiền gửi Việt Nam có trách nhiệm theo dõi chi tiết khoản thu này;

- Thu lãi từ trái phiếu dài hạn của tổ chức tín dụng nhận chuyển giao bắt buộc theo quyết định của Ngân hàng Nhà nước Việt Nam;

- Thu từ hoạt động tổ chức đào tạo phổ biến kiến thức về bảo hiểm tiền gửi và các nội dung liên quan cho tổ chức, cá nhân có liên quan ngoài Bảo hiểm tiền gửi Việt Nam;

- Thu từ hoạt động khác theo quy định của pháp luật.

Trên đây là thông tin về Các khoản thu của Bảo hiểm tiền gửi Việt Nam gồm các khoản nào?

Các khoản thu của Bảo hiểm tiền gửi Việt Nam gồm các khoản nào? (Hình từ Internet)

Căn cứ theo Điều 21  Luật Bảo hiểm tiền gửi 2025  quy định:

Điều 21. Thời điểm phát sinh nghĩa vụ trả tiền bảo hiểm

Nghĩa vụ trả tiền bảo hiểm phát sinh kể từ một trong các thời điểm sau đây:

1. Phương án phá sản tổ chức tín dụng được phê duyệt hoặc Ngân hàng Nhà nước Việt Nam có văn bản xác định chi nhánh ngân hàng nước ngoài mất khả năng chi trả tiền gửi cho người gửi tiền;

2. Ngân hàng Nhà nước Việt Nam có văn bản đình chỉ hoạt động nhận tiền gửi của tổ chức tín dụng được kiểm soát đặc biệt và tổ chức tín dụng đó có lỗ lũy kế lớn hơn 100% giá trị của vốn điều lệ và các quỹ dự trữ theo báo cáo tài chính đã được kiểm toán gần nhất;

3. Ngân hàng Nhà nước Việt Nam có văn bản thông báo cho tổ chức bảo hiểm tiền gửi về việc trả tiền bảo hiểm theo quy định tại khoản 2 Điều 36 của Luật này.

Như vậy, thời điểm phát sinh nghĩa vụ trả tiền bảo hiểm tiền gửi là khi phát sinh kể từ một trong các thời điểm sau đây:

- Phương án phá sản tổ chức tín dụng được phê duyệt hoặc Ngân hàng Nhà nước Việt Nam có văn bản xác định chi nhánh ngân hàng nước ngoài mất khả năng chi trả tiền gửi cho người gửi tiền;

- Ngân hàng Nhà nước Việt Nam có văn bản đình chỉ hoạt động nhận tiền gửi của tổ chức tín dụng được kiểm soát đặc biệt và tổ chức tín dụng đó có lỗ lũy kế lớn hơn 100% giá trị của vốn điều lệ và các quỹ dự trữ theo báo cáo tài chính đã được kiểm toán gần nhất;

- Ngân hàng Nhà nước Việt Nam có văn bản thông báo cho tổ chức bảo hiểm tiền gửi về việc trả tiền bảo hiểm theo quy định tại khoản 2 Điều 36  Luật Bảo hiểm tiền gửi 2025 .

Căn cứ theo Điều 11  Luật Bảo hiểm tiền gửi 2025  quy định về 05 hành vi bị nghiêm cấm về hoạt động bảo hiểm tiền gửi như sau:

- Tổ chức tham gia bảo hiểm tiền gửi không nộp phí bảo hiểm tiền gửi.

- Tổ chức bảo hiểm tiền gửi không trả hoặc trả không đầy đủ tiền bảo hiểm.

- Gian lận, giả mạo hồ sơ, tài liệu, dữ liệu, giấy tờ về bảo hiểm tiền gửi.

- Cản trở, gây khó khăn làm thiệt hại đến quyền và lợi ích hợp pháp của tổ chức bảo hiểm tiền gửi, tổ chức tham gia bảo hiểm tiền gửi, người được bảo hiểm tiền gửi và cơ quan, tổ chức có liên quan đến bảo hiểm tiền gửi.

- Lợi dụng chức vụ, quyền hạn làm trái quy định của pháp luật về bảo hiểm tiền gửi.","","","","","2026-04-07","https://thuvienphapluat.vn/hoi-dap-phap-luat/cac-khoan-thu-cua-bao-hiem-tien-gui-viet-nam-gom-cac-khoan-nao-138086337.html","2026-04-08T16:11:03.320639+00:00"
"138086329","MỚI NHẤT bảng giá vàng hôm nay 7/4/2026 sau khi điều chỉnh bao nhiêu tiền 1 chỉ?","Căn cứ theo khoản 1 Điều 9  Nghị định 24/2012/NĐ-CP  quy định doanh nghiệp kinh doanh mua, bán vàng trang sức, mỹ nghệ có trách nhiệm niêm yết công khai tại địa điểm giao dịch về khối lượng, hàm lượng vàng, giá mua, giá bán các loại sản phẩm vàng trang sức, mỹ nghệ và chịu trách nhiệm trước pháp luật về chất lượng sản phẩm bán ra thị trường.

>>> Dưới đây là MỚI NHẤT bảng giá vàng hôm nay 7/4/2026 sau khi điều chỉnh:

Đơn vị tính: Triệu VNĐ đồng/lượng

>>> Dưới đây là  bảng giá vàng hôm nay cập nhật mới nhất :

Bảng Giá vàng hôm nay 7/4/2026:

Đơn vị tính: Triệu VNĐ đồng/lượng

Giá vàng  SJC  Ngày 07-04-2026  07:50

Loại vàng

Mua vào

Bán ra

Vàng SJC 1L, 10L, 1KG

170.100

173.100

Vàng SJC 5 chỉ

170.100

173.120

Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ

170.100

173.130

Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ

169.600

172.600

Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ

169.600

172.700

Nữ trang 99,99%

167.600

171.100

Nữ trang 99%

162.906

169.406

Nữ trang 75%

119.588

128.488

Nữ trang 68%

107.610

116.510

Nữ trang 61%

95.631

104.531

Nữ trang 58,3%

91.011

99.911

Nữ trang 41,7%

62.606

71.506

Giá vàng  DOJI HCM  Ngày 07-04-2026  07:50

Loại vàng

Mua vào

Bán ra

SJC Lẻ

170.100

173.100

AVPL

170.100

173.100

Nhẫn tròn 999 Hưng Thịnh Vượng

170.000

173.100

Nữ trang 99.99

167.500

171.500

Nữ trang 99.9

167.000

171.000

Nữ trang 99

166.300

170.800

Giá vàng  PNJ  Ngày 06-04-2026  22:15

Loại vàng

Mua vào

Bán ra

Nhẫn Trơn PNJ 999.9

169.000

172.000

Vàng Kim Bảo 999.9

169.000

172.000

Vàng Phúc Lộc Tài 999.9

169.000

172.000

Vàng nữ trang 999.9

166.500

170.500

Vàng nữ trang 999

166.330

170.330

Vàng nữ trang 9920

162.940

169.140

Vàng nữ trang 99

162.600

168.800

Vàng 916 (22K)

149.980

156.180

Vàng 750 (18K)

118.980

127.880

Vàng 680 (16.3K)

107.040

115.940

Vàng 650 (15.6K)

101.930

110.830

Vàng 610 (14.6K)

95.110

104.010

Vàng 585 (14K)

90.840

99.740

Vàng 416 (10K)

62.030

70.930

Vàng 375 (9K)

55.040

63.940

Vàng 333 (8K)

47.880

56.780

Giá vàng  Mi Hồng  Ngày 07-04-2026  07:55

Loại vàng

Mua vào

Bán ra

Vàng miếng SJC

170.700

172.700

Vàng 99,9%

170.700

172.700

Vàng 9T85 (98,5%)

151.500

154.500

Vàng 9T8 (98,0%)

150.700

153.700

Vàng 95 (95,0%)

146.000

-

Vàng V75 (75,0%)

108.000

112.000

Vàng V68 (68,0%)

96.500

100.500

Vàng 6T1 (61,0%)

93.500

97.500

Vàng 14K (58,0%)

87.500

91.500

Vàng 10K (41,0%)

60.500

64.500

Đơn vị:

- 1 lượng (cây) = 10 chỉ

- Giá trên là giá niêm yết vàng miếng

*Lưu ý:  Giá vàng có thể thay đổi theo từng giờ vì vậy người mua nên theo dõi cập nhật liên tục hoặc liên hệ trực tiếp cửa hàng để biết mức giá chính xác tại thời điểm giao dịch.

* Trên đây là Thông tin về MỚI NHẤT bảng giá vàng hôm nay 7 4 2026 sau khi điều chỉnh bao nhiêu tiền 1 chỉ?

MỚI NHẤT bảng giá vàng hôm nay 7 4 2026 sau khi điều chỉnh bao nhiêu tiền 1 chỉ? (Hình từ Internet)

Tại Điều 3  Nghị định 24/2012/NĐ-CP  được sửa đổi bởi Khoản 2 Điều 1  Nghị định 232/2025/NĐ-CP  có quy định về vàng trang sức như sau:

Điều 3. Giải thích từ ngữ

Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:

1. Vàng trang sức, mỹ nghệ là các sản phẩm vàng có hàm lượng từ 8 Kara (tương đương 33,33%) trở lên, đã qua gia công, chế tác để phục vụ nhu cầu trang sức, trang trí mỹ thuật.

2. Vàng miếng là sản phẩm vàng được dập thành miếng, có đóng chữ, số chỉ khối lượng, chất lượng, có ký mã hiệu của doanh nghiệp và ngân hàng thương mại được Ngân hàng Nhà nước Việt Nam (sau đây được gọi là Ngân hàng Nhà nước) cho phép sản xuất; vàng miếng do Ngân hàng Nhà nước tổ chức sản xuất trong từng thời kỳ.

3. Vàng nguyên liệu là vàng dưới dạng khối, thỏi, hạt, miếng và các loại vàng khác.

4. Hoạt động kinh doanh vàng trên tài khoản là hoạt động kinh doanh vàng qua tài khoản, dưới hình thức giao dịch ký quỹ và giá trị ròng được định giá lại liên tục theo biến động của giá vàng.

Như vậy, vàng trang sức, mỹ nghệ là các sản phẩm vàng có hàm lượng từ 8 Kara (tương đương 33,33%) trở lên.

Tại Điều 5  Nghị định 24/2012/NĐ-CP  quy định về điều kiện hoạt động sản xuất vàng trang sức, mỹ nghệ như sau:

Điều 5. Điều kiện hoạt động sản xuất vàng trang sức, mỹ nghệ

1. Doanh nghiệp sản xuất vàng trang sức, mỹ nghệ được Ngân hàng Nhà nước cấp Giấy chứng nhận đủ điều kiện sản xuất vàng trang sức, mỹ nghệ khi đáp ứng đủ các điều kiện sau đây:

a) Là doanh nghiệp được thành lập theo quy định của pháp luật, có đăng ký sản xuất vàng trang sức, mỹ nghệ trong Giấy chứng nhận đăng ký doanh nghiệp.

b) Có địa điểm, cơ sở vật chất và các trang thiết bị cần thiết phục vụ cho hoạt động sản xuất vàng trang sức, mỹ nghệ.

2. Ngân hàng Nhà nước quy định thủ tục và hồ sơ Giấy chứng nhận đủ điều kiện sản xuất vàng trang sức, mỹ nghệ.

Như vậy, Ngân hàng Nhà nước là cơ quan có thẩm quyền quy định thủ tục và hồ sơ Giấy chứng nhận đủ điều kiện sản xuất vàng trang sức, mỹ nghệ.

* Trên đây là Thông tin về MỚI NHẤT bảng giá vàng hôm nay 7 4 2026 sau khi điều chỉnh bao nhiêu tiền 1 chỉ?","","","","","2026-04-07","https://thuvienphapluat.vn/hoi-dap-phap-luat/moi-nhat-bang-gia-vang-hom-nay-742026-sau-khi-dieu-chinh-bao-nhieu-tien-1-chi-138086329.html","2026-04-08T16:11:08.474680+00:00"
"138085118","Phương thức cung cấp thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam như thế nào?","Căn cứ Điều 5  Thông tư 01/2026/TT-NHNN  quy định về phương thức cung cấp thông tin như sau:

Điều 5. Phương thức cung cấp thông tin

1. Phương thức cung cấp thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam thực hiện theo quy định tại Quyết định của Thống đốc Ngân hàng Nhà nước về danh mục, chỉ tiêu thông tin, báo cáo giữa Ngân hàng Nhà nước và Bảo hiểm tiền gửi Việt Nam.

2. Đối với các thông tin, báo cáo được chia sẻ từ Ngân hàng Nhà nước theo phương thức điện tử, Bảo hiểm tiền gửi Việt Nam được khai thác theo hướng dẫn của Cục Công nghệ thông tin.

Như vậy, phương thức cung cấp thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam như sau:

- Phương thức cung cấp thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam thực hiện theo quy định tại Quyết định của Thống đốc Ngân hàng Nhà nước về danh mục, chỉ tiêu thông tin, báo cáo giữa Ngân hàng Nhà nước và Bảo hiểm tiền gửi Việt Nam.

- Đối với các thông tin, báo cáo được chia sẻ từ Ngân hàng Nhà nước theo phương thức điện tử, Bảo hiểm tiền gửi Việt Nam được khai thác theo hướng dẫn của Cục Công nghệ thông tin.

Phương thức cung cấp thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam như thế nào? (Hình từ Internet)

Căn cứ Điều 8  Thông tư 01/2026/TT-NHNN  quy định về thời hạn gửi thông tin như sau:

Điều 8. Thời hạn gửi thông tin

1. Thời hạn gửi thông tin, báo cáo được quy định cụ thể tại Quyết định của Thống đốc Ngân hàng Nhà nước về danh mục, chỉ tiêu thông tin, báo cáo giữa Ngân hàng Nhà nước và Bảo hiểm tiền gửi Việt Nam.

2. Nếu ngày quy định cuối cùng của thời hạn gửi thông tin, báo cáo trùng với ngày nghỉ lễ, nghỉ Tết hoặc ngày nghỉ cuối tuần, thì ngày gửi thông tin, báo cáo là ngày làm việc tiếp theo ngay sau ngày đó.

3. Trường hợp thông tin, báo cáo gửi bằng văn bản, ngày gửi thông tin, báo cáo thực tế được tính là ngày ghi trên dấu của bưu điện nơi tiếp nhận thông tin, báo cáo gửi đi. Trường hợp thông tin, báo cáo gửi qua kênh báo cáo điện tử, ngày gửi thông tin, báo cáo là ngày truyền file báo cáo thành công.

4. Trường hợp khẩn cấp hoặc đột xuất, đơn vị phải gửi thông tin, báo cáo qua fax hoặc hộp thư điện tử đã được đăng ký với Ngân hàng Nhà nước. Sau khi gửi thông tin, báo cáo qua fax hoặc hộp thư điện tử đã được đăng ký, đơn vị báo cáo có trách nhiệm gửi thông tin, báo cáo chính thức theo quy định tại Điều 5 Thông tư này. Ngày gửi thông tin, báo cáo thực tế được tính là ngày chuyển thông tin, báo cáo qua fax hoặc hộp thư điện tử đã đăng ký.

Như vậy, thời hạn gửi thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam như sau:

- Thời hạn gửi thông tin, báo cáo được quy định cụ thể tại Quyết định của Thống đốc Ngân hàng Nhà nước về danh mục, chỉ tiêu thông tin, báo cáo giữa Ngân hàng Nhà nước và Bảo hiểm tiền gửi Việt Nam.

- Nếu ngày quy định cuối cùng của thời hạn gửi thông tin, báo cáo trùng với ngày nghỉ lễ, nghỉ Tết hoặc ngày nghỉ cuối tuần, thì ngày gửi thông tin, báo cáo là ngày làm việc tiếp theo ngay sau ngày đó.

- Trường hợp thông tin, báo cáo gửi bằng văn bản, ngày gửi thông tin, báo cáo thực tế được tính là ngày ghi trên dấu của bưu điện nơi tiếp nhận thông tin, báo cáo gửi đi. Trường hợp thông tin, báo cáo gửi qua kênh báo cáo điện tử, ngày gửi thông tin, báo cáo là ngày truyền file báo cáo thành công.

- Trường hợp khẩn cấp hoặc đột xuất, đơn vị phải gửi thông tin, báo cáo qua fax hoặc hộp thư điện tử đã được đăng ký với Ngân hàng Nhà nước. Sau khi gửi thông tin, báo cáo qua fax hoặc hộp thư điện tử đã được đăng ký, đơn vị báo cáo có trách nhiệm gửi thông tin, báo cáo chính thức theo quy định tại Điều 5 Thông tư này. Ngày gửi thông tin, báo cáo thực tế được tính là ngày chuyển thông tin, báo cáo qua fax hoặc hộp thư điện tử đã đăng ký.

Căn cứ Điều 3  Thông tư 01/2026/TT-NHNN  nguyên tắc cung cấp, sử dụng và quản lý thông tin giữa Ngân hàng Nhà nước Việt Nam và Bảo hiểm tiền gửi Việt Nam như sau:

- Bảo đảm tính toàn vẹn, kịp thời của thông tin được cung cấp.

- Việc cung cấp, sử dụng, quản lý và bảo mật thông tin theo quy định của pháp luật

- Bên được cung cấp thông tin sử dụng thông tin phục vụ cho việc thực hiện chức năng, nhiệm vụ được giao.

- Bảo hiểm tiền gửi Việt Nam không được cung cấp cho bên thứ ba thông tin được Ngân hàng Nhà nước cung cấp, trừ trường hợp cung cấp thông tin cho cơ quan nhà nước có thẩm quyền theo quy định của pháp luật hoặc theo chỉ đạo của Thống đốc Ngân hàng Nhà nước.","","","","","2026-04-05","https://thuvienphapluat.vn/hoi-dap-phap-luat/phuong-thuc-cung-cap-thong-tin-giua-ngan-hang-nha-nuoc-viet-nam-va-bao-hiem-tien-gui-viet-nam-nhu-t-138085118.html","2026-04-08T16:11:13.364301+00:00"
"138086115","Tỷ giá USD tháng 4 năm 2026 là bao nhiêu?","Ngày 31/03/2026, Kho bạc Nhà nước đã có Thông báo 1794/TB-KBNN năm 2026 về tỷ giá hạch toán ngoại tệ tháng 4 năm 2026. Trong đó quy định cụ thể tỷ giá USD tháng 4 năm 2026.

Tải về

Cụ thể, tỷ giá USD tháng 4 năm 2026 như sau:

- Tỷ giá hạch toán giữa đồng Việt Nam và đô la Mỹ (USD) tháng 4 năm 2026 là: là  1 USD = 25.073 đồng.

- Tỷ giá hạch toán ngoại tệ tháng 4 năm 2026 giữa đồng Việt Nam với các ngoại tệ khác thực hiện theo Phụ lục ban hành kèm theo Thông báo 1794/TB-KBNN năm 2026 như sau:

[...]

- Tỷ giá USD tháng 4 2026 trên được áp dụng trong các nghiệp vụ sau:

+ Quy đổi và hạch toán thu, chi ngân sách nhà nước bằng ngoại tệ.

+ Quy đổi và hạch toán kế toán của Kho bạc Nhà nước.

Xem chi tiết thông tin về tỷ giá USD tháng 4 2026:

Tải về

Tỷ giá USD tháng 4 năm 2026 là bao nhiêu? (Hình từ Internet)

Căn cứ theo khoản 7 Điều 2  Thông tư 02/2021/TT-NHNN  quy định như sau:

Điều 2. Giải thích từ ngữ

Tại Thông tư này, các từ ngữ dưới đây được hiểu như sau:

[...]

